k;count
1;27273342
2;7332943
3;1751317
4;377189
5;214595
6;160401
7;114196
8;95756
9;74181
10;63860
11;51964
12;45560
13;38351
14;34260
15;29479
16;26980
17;23408
18;21491
19;19161
20;18050
21;16213
22;15041
23;13548
24;12739
25;11490
26;10842
27;9953
28;9113
29;8693
30;8095
31;7708
32;7295
33;6873
34;6499
35;5974
36;5818
37;5531
38;5258
39;4924
40;4623
41;4396
42;4164
43;3913
44;3814
45;3744
46;3472
47;3352
48;3177
49;3018
50;2869
51;2672
52;2549
53;2483
54;2362
55;2223
56;2181
57;2018
58;1941
59;1902
60;1736
61;1852
62;1706
63;1583
64;1680
65;1590
66;1579
67;1516
68;1468
69;1403
70;1394
71;1341
72;1259
73;1265
74;1218
75;1139
76;1083
77;1009
78;987
79;975
80;948
81;911
82;990
83;900
84;877
85;871
86;782
87;789
88;759
89;743
90;735
91;721
92;678
93;674
94;664
95;651
96;560
97;538
98;592
99;549
100;497
101;502
102;519
103;536
104;502
105;487
106;472
107;461
108;486
109;441
110;426
111;416
112;397
113;353
114;403
115;391
116;375
117;317
118;290
119;315
120;299
121;300
122;346
123;296
124;320
125;307
126;264
127;284
128;264
129;266
130;264
131;239
132;223
133;248
134;240
135;240
136;226
137;217
138;232
139;227
140;187
141;190
142;183
143;187
144;172
145;188
146;191
147;212
148;183
149;194
150;178
151;162
152;159
153;170
154;145
155;166
156;147
157;160
158;152
159;120
160;112
161;130
162;142
163;136
164;139
165;135
166;113
167;133
168;101
169;104
170;93
171;105
172;101
173;94
174;99
175;100
176;115
177;90
178;94
179;106
180;95
181;82
182;87
183;101
184;65
185;84
186;66
187;93
188;78
189;83
190;77
191;70
192;73
193;89
194;67
195;76
196;75
197;65
198;68
199;60
200;64
201;68
202;90
203;58
204;62
205;69
206;61
207;62
208;52
209;64
210;70
211;53
212;61
213;67
214;61
215;61
216;85
217;44
218;169
219;153
220;64
221;63
222;41
223;50
224;60
225;54
226;59
227;54
228;49
229;53
230;47
231;58
232;37
233;53
234;34
235;40
236;38
237;38
238;33
239;45
240;43
241;35
242;31
243;31
244;34
245;31
246;33
247;34
248;35
249;35
250;34
251;27
252;26
253;31
254;24
255;27
256;39
257;37
258;26
259;32
260;35
261;27
262;38
263;38
264;86
265;32
266;23
267;38
268;33
269;28
270;34
271;27
272;21
273;26
274;25
275;23
276;20
277;16
278;20
279;25
280;27
281;30
282;27
283;22
284;26
285;26
286;27
287;23
288;22
289;28
290;17
291;12
292;17
293;13
294;29
295;28
296;18
297;23
298;21
299;20
300;14
301;15
302;17
303;20
304;12
305;17
306;12
307;11
308;12
309;6
310;16
311;8
312;11
313;18
314;15
315;13
316;16
317;14
318;12
319;7
320;6
321;14
322;19
323;17
324;14
325;14
326;10
327;14
328;7
329;11
330;11
331;22
332;16
333;19
334;12
335;15
336;7
337;10
338;12
339;7
340;8
341;10
342;9
343;10
344;10
345;9
346;7
347;8
348;5
349;11
350;14
351;13
352;9
353;6
354;8
355;5
356;4
357;6
358;5
359;8
360;7
361;9
362;9
363;6
364;3
365;4
366;2
367;9
368;13
369;10
370;5
371;8
372;5
373;4
374;11
375;7
376;14
377;9
378;14
379;5
380;6
381;6
382;2
383;3
384;6
385;5
386;8
387;14
388;6
389;11
390;8
391;8
