k;count
1;4039
2;3891
3;3826
4;3811
5;3585
6;3572
7;3419
8;3273
9;3217
10;3166
11;3011
12;2805
13;2786
14;2647
15;2768
16;2562
17;2465
18;2422
19;2359
20;2302
21;2271
22;2205
23;2099
24;2047
25;1985
26;2008
27;1900
28;1785
29;1720
30;1600
31;1640
32;1584
33;1525
34;1536
35;1467
36;1399
37;1421
38;1430
39;1305
40;1308
41;1222
42;1259
43;1232
44;1202
45;1174
46;1130
47;1137
48;1063
49;1039
50;1027
51;973
52;965
53;932
54;966
55;894
56;851
57;834
58;820
59;828
60;861
61;778
62;806
63;735
64;744
65;709
66;681
67;662
68;630
69;636
70;595
71;602
72;632
73;600
74;568
75;575
76;570
77;576
78;521
79;547
80;484
81;497
82;527
83;471
84;465
85;478
86;479
87;482
88;455
89;411
90;433
91;401
92;405
93;382
94;422
95;378
96;373
97;354
98;353
99;317
100;342
101;340
102;358
103;353
104;323
105;309
106;337
107;316
108;314
109;293
110;277
111;289
112;314
113;279
114;257
115;259
116;284
117;283
118;264
119;264
120;216
121;275
122;251
123;215
124;277
125;242
126;241
127;219
128;225
129;213
130;197
131;213
132;202
133;200
134;207
135;178
136;203
137;211
138;208
139;197
140;155
141;163
142;176
143;202
144;171
145;200
146;174
147;173
148;169
149;189
150;150
151;157
152;152
153;154
154;120
155;172
156;123
157;128
158;159
159;144
160;166
161;139
162;137
163;129
164;153
165;128
166;119
167;128
168;132
169;117
170;111
171;128
172;103
173;123
174;129
175;130
176;120
177;115
178;120
179;117
180;114
181;136
182;99
183;112
184;123
185;100
186;89
187;113
188;95
189;89
190;93
191;109
192;99
193;89
194;102
195;85
196;81
197;89
198;93
199;97
200;80
201;77
202;85
203;84
204;106
205;97
206;74
207;91
208;76
209;83
210;93
211;83
212;78
213;68
214;73
215;64
216;88
217;62
218;79
219;72
220;76
221;72
222;72
223;67
224;67
225;72
226;55
227;54
228;74
229;57
230;63
231;64
232;66
233;69
234;51
235;53
236;59
237;59
238;80
239;56
240;57
241;67
242;63
243;50
244;62
245;37
246;59
247;62
248;49
249;39
250;55
251;60
252;60
253;63
254;62
255;54
256;43
257;43
258;50
259;48
260;45
261;55
262;51
263;44
264;41
265;63
266;52
267;48
268;45
269;49
270;43
271;38
272;38
273;38
274;38
275;54
276;42
277;46
278;56
279;43
280;36
281;39
282;48
283;45
284;32
285;34
286;45
287;39
288;37
289;31
290;41
291;45
292;33
293;42
294;37
295;44
296;35
297;38
298;35
299;41
300;35
301;34
302;28
303;30
304;35
305;36
306;49
307;30
308;36
309;33
310;28
311;35
312;31
313;32
314;29
315;33
316;30
317;27
318;41
319;26
320;30
321;30
322;32
323;18
324;24
325;24
326;25
327;37
328;28
329;27
330;37
331;30
332;31
333;29
334;34
335;25
336;33
337;21
338;20
339;30
340;22
341;25
342;23
343;18
344;27
345;20
346;17
